#CODE;RUSSIAN;x
AGOT_MOD_VERSION;Версия 2.2;x
EVTDESCmaintenance.19;§RВНИМАНИЕ:§! Похоже, ваша контрольная сумма отличается от той, которая должна быть. Это может быть связано с использованием неправильной версии СК2, неверной версии мода или из-за сабмодов/аддонов. Мы советуем Вам проверить ваш СК2 и мод. Версия мода: 2.2, совместима с СК2 3.3.3\n\n Если вы используете сабмоды, то можете отключить это предупреждение. §RПРИМЕЧАНИЕ:§! Если вы используете несколько сабмодов, то они могут быть несовместимы друг с другом, а также вызывать ошибки, баги и т. д.;x
EVTDESCmaintenance.19B;§RВНИМАНИЕ:§! Похоже, вы используете неверную версию СК2 для этой версии мода. Версия мода: 2.2, совместимая с СК2 3.3.3\n\n Вы должны обновиться до 3.3.3, чтобы обеспечить правильную работу мода.;x
RULE_CK2_VERSION_WARNING;Предупреждение о версии СК2;x
RULE_CK2_VERSION_WARNING_ON_DESC;Вы получите оповещение, если контрольная сумма неверна. Отключите эту настройку, если вы используете какой-либо сабмод или внесли преднамеренные изменения в основной мод.;x
RULE_CK2_VERSION_WARNING_OFF_DESC;Вы §RНЕ§! получите предупреждение, если контрольная сумма неверна. Включите этот параметр, если вы используете какой-либо сабмод или внесли преднамеренные изменения в основной мод. Мод версии:§G2.2§!, совместим с CK2 §G3.3.3§;x
k_trident;Трезубец;x
k_trident_adj;Трезубец;x
EVTOPTG100110;Я никогда не буду лучше, чем [Root.Liege.GetMyCastellanName] [Root.Liege.job_castellan.GetTitledFirstName].;x
title_concubine;Наложница;x
title_concubine_desc;Многие культуры пользуются традицией иметь наложницу, а также жену.;x
title_revoke_minor_title;Отозвать почётный титул;x
title_revoke_minor_title_desc;Отзыв почётного титула этого персонажа повлечёт потерю его доходов и престижа. Это разозлит его.;x
title_revoke_court_jester;Отозвать почётный титул;x
title_revoke_court_jester_desc;Отозвать почётный титул этого персонажа.;x
EVTDESC300001;Наследственная проверка. Вы не должны этого видеть.;x
EVTOPTA300001;Извините;x
action_oversee_province;Обзор провинции;x
action_oversee_province_nomadic;Обзор лагеря;x
action_improve_defenses;Повысить оборону;x
action_pacify_province;Восстановить порядок в провинции;x
action_pacify_province_nomadic;Восстановить порядок в лагере;x
EVTDESC20201;М[Root.GetOyaOy] [Root.GetTitledName], я собрал[From.GetEndA] десятину в земле [From.Location.GetName]. Деньги будут присланы вместе с этим письмом.\n\nВаш покорный [Root.GetMyCastellanName],\n[From.GetTitledName];x
EVTDESC20512;М[Root.GetOyaOy] [Root.GetTitledName], крестьяне напали на меня во время сбора десятины в земле [From.Location.GetName]! Они серьёзно ранили меня, мне с трудом удалось избежать гибели.\n\nВаш покорный [Root.GetMyCastellanName],\n[From.GetTitledName];x
EVTDESC20513;М[Root.GetOyaOy] [Root.GetTitledName], Ваш [Root.GetMyCastellanName] [From.GetTitledName] был[From.GetEndA] убит[From.GetEndA] крестьянами, когда собирал[From.GetEndA] дополнительную десятину по вашему приказу.;x
EVTDESC20592;М[Root.GetOyaOy] [Root.GetTitledName],\nЯ сообщаю вам шокирующую новость! [FromFrom.GetTitledName] пыта[FromFrom.GetLasLsya] убить меня, чтобы скрыть свой подлый заговор, а именно [FromFrom.GetPlot].\n\nВаш покорный [Root.GetMyCastellanName],\n[From.GetTitledName];x
EVTDESC20612;М[Root.GetOyaOy] [Root.GetTitledName],\nВооружённые бандиты пытались убить меня, когда я расследовал[From.GetEndA] слухи о заговоре в земле [From.Location.GetName]! Я едва не погиб[From.GetNoneE], получив тяжёлые ранения.\n\nВаш покорный [Root.GetMyCastellanName],\n[From.GetTitledName];x
EVTDESC20613;М[Root.GetOyaOy] [Root.GetTitledName], Ваш[From.GetEndA] [Root.GetMyCastellanName] [From.GetTitledName] был[From.GetEndA] убит[From.GetEndA] расследуя слухи о заговоре в земле [From.Location.GetName];x
EVTDESC20501;М[Root.GetOyaOy] [Root.GetTitledName], моя миссия в земле [From.Location.GetName] достигла успеха! [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] благосклонно принял[From.GetEndA] меня , мне удалось убедить [From.GetHerHis], что вы добрый и мирный правитель. [From.GetSheHeCap] передаёт вам свои приветствия.\n\nВаш скромный [Root.GetMyCastellanName],\n[Root.job_castellan.GetTitledFirstName];x
EVTDESC20511;М[Root.GetOyaOy] [Root.GetTitledName], [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] удостоил[From.GetEndA] меня аудиенции, я пытал[Root.job_castellan.GetLasLsya] убедить [From.GetHerHis], что вы добрый и мирный правитель, но злые языки [From.GetHerHis] двора усердно дискредитировали каждое моё слово и движение. Опасаюсь, что к концу визита я сделал[Root.job_castellan.GetEndA] больше вреда, чем пользы.\n\nВаш покорный Мастер над Законами,\n[Root.job_castellan.GetTitledFirstName];x
EVTDESC20131;М[Root.GetOyaOy] [Root.GetTitledName], моя миссия в регионе [FromFrom.Location.GetName] похоже увенчалась успехом. Путём подкупа, уговоров, вымогательства, угроз и подделки документов, мне удалось изготовить претензии на землю [FromFrom.Location.County.GetFullName], которыми сейчас владеет [From.GetTitledName]. Вам осталось выбрать, настаивать на них или нет.\n\nВаш покорный,\n[FromFrom.GetTitledName];x
EVTDESC20133;М[Root.GetOyaOy] [Root.GetTitledName], моя миссия в регионе [FromFrom.Location.GetName] похоже увенчалась успехом. Путём подкупа, уговоров, вымогательства, угроз и подделки документов, мне удалось изготовить претензии на [FromFrom.Location.Duchy.GetFullName], которыми сейчас владеет [From.GetTitledName]. Вам осталось выбрать, настаивать на них или нет.\n\nВаш покорный,\n[FromFrom.GetTitledName];x
CB_NAME_DEJUREKINGCLAIM;Сильная претензия на титул [Title.GetName];x
dejure_kingdom_claim_desc;§Y$TITLE$§! Де-юре вассал §Y$CLAIMANT$§!, это достаточный повод для войны.;x
EVTDESC999900070;Знамена Таргариенов;x
EVTDESC999900071;Валирия доминировала и в военном, и в культурном плане в своё время. С помощью драконов и, если верить преданиям, магии, валирийцы подчинили себе большую часть континента. У них был свой язык, их каменщики считались лучшими. Ходят слухи, что среди патрициев Валирии процветали близкородственные браки и полигамия.;x
EVTOPTA999900071;Кровное Родство...;x
EVTOPTB999900071;Во мне течёт кровь старой Валирии!;x
EVTDESC999900072;Безумие и величие - это две стороны одной монеты. Каждый раз, когда рождается новый Таргариен, боги подбрасывают монету, и весь мир, затаив дыхание, следит, какой стороной она ляжет.;x
EVTOPTA999900072;Монета подброшена...;x
EVTOPTA999900073;Этот ребенок кажется безумным;x
EVTOPTA999900074;Этот ребенок кажется великим;x
EVTDESC999900076;На протяжении веков Таргариены продолжали следовать Валирийской традиции брака между родственниками, с тем чтобы сохранить нашу чистую родословную. Если мы будем продолжать, кровь Дракона останется сильной?;x
EVTOPTA999900076;Во мне течёт кровь старой Валирии!;x
EVTOPTB999900076;Это устаревшая практика.;x
EVTDESCroberts_rebellion.1;Пригласить сюда;x
EVTOPTAroberts_rebellion.1;Всякий раз, когда вы играете в игру престолов, вы либо побеждаете, либо погибаете.;x
EVTDESCroberts_rebellion.3;Лианна Старк сейчас на моём попечении и находится в Башне Радости.;x
EVTOPTAroberts_rebellion.3;Она моя Королева Любви и Красоты;x
EVTDESChigh_valyrian.100;Сидя в моей библиотеке я заметил старые пыльные тома. Это оказались сборники сказаний и легенд о Старой Валирии. Возможно, мне стоит их прочесть?;x
EVTOPTAhigh_valyrian.100;Как интересно!;x
EVTOPTBhigh_valyrian.100;У меня нет времени на книги.;x
reading_valyrian_books;Читать Валирийские легенды.;x
EVTDESCfire_obsessed.1;В этой книге есть самые интригующие сказания о драконах и огне. Она утверждает, что старые волшебники Валирии не пилили и обтёсывали камень, а обрабатывали его огнем и магией. В моих жилах течёт кровь Старой Валирии. Вдруг и у меня получится?;x
EVTOPTAfire_obsessed.1;Послать за алхимиком, он должен знать.;x
EVTOPTBfire_obsessed.1;Ни один смертный не может повелевать огнём.;x
pyromancer;Пиромант;x
EVTDESCfire_obsessed.2;Этот алхимик искусен в управлении огнем, и он говорит, что я, будучи рождённым от крови дракона, тоже могу научиться этому. Если так, то скоро враги познают мою силу…;x
EVTOPTAfire_obsessed.2;Огонь подчинится мне.;x
opinion_pyromancer;Младший пиромант;x
fire_obsessed;Одержимость огнём;x
fire_obsessed_desc;Этот персонаж увлекся силой огня.;x
