#CODE;RUSSIAN;x
nick_wolfsbane;Волчья Погибель;x
nick_greatwarg;Великий Варг;x
nick_beasttamer;Укротитель[GetEndNitsa] Зверей;x
nick_manyskinned;Многих Шкур;x
nick_king_of_the_woods;Король Леса;x
nick_husband_to_bears;Медвежий Муж;x
nick_the_raventree;Восстановитель[GetEndNitsa] Воронодрева;x
nick_the_oakenseat_bl;Восстановитель[GetEndNitsa] Дубового Трона;x
nick_the_palanquin;Восстановитель[GetEndNitsa] Паланкина;x
nick_the_bloodstone_bl;Восстановитель[GetEndNitsa] Кровавого Камня;x
nick_the_eunuch_emperor_1;Благожелательный Евнух;x
nick_the_eunuch_emperor_2;Блаженный Евнух;x
nick_the_eunuch_emperor_3;Священный Евнух;x
nick_the_eunuch_emperor_4;Возлюбленный Евнух;x
nick_the_eunuch_emperor_5;Почтенный Евнух;x
nick_the_eunuch_emperor_6;Просветленный Евнух;x
nick_the_eunuch_emperor_7;Преданный Евнух;x
nick_the_eunuch_emperor_8;Император-Евнух;x
nick_the_scourge_emperor_1;Проклятие Равнин;x
nick_the_scourge_emperor_2;Охотни[GetTsaK] за Кочевниками;x
nick_the_scourge_emperor_3;Истребитель[GetEndNitsa] Зебр;x
nick_the_scourge_emperor_4;Нефритовый Меч;x
nick_the_shield_emperor_1;Щит от Тени;x
nick_the_shield_emperor_2;Убийца Пепла;x
nick_the_shield_emperor_3;Свет во Тьме;x
nick_the_shield_emperor_4;Нефритовый Меч;x
nick_the_scion_emperor_1;Наследни[GetTsaK] Равнин;x
nick_the_scion_emperor_2;Джаттар И-Ти;x
nick_the_scion_emperor_3;Друг Кочевников;x
nick_the_scion_emperor_4;Император-на-Зебре;x
nick_the_sorceror_emperor_1;Император Длинной Ложки;x
nick_the_sorceror_emperor_2;Темный Император;x
nick_the_sorceror_emperor_3;Император-Маг;x
nick_the_sorceror_emperor_4;Ужасн[GetAyaYy];x
nick_the_peasant_emperor_1;Император-Простолюдин;x
nick_the_peasant_emperor_2;Друг Народа;x
nick_the_peasant_emperor_3;Народный Император;x
nick_the_peasant_emperor_4;Император-Оборванец;x
nick_the_bureaucrat_emperor_1;Император-Бюрократ;x
nick_the_bureaucrat_emperor_2;Чернильный Император;x
nick_the_bureaucrat_emperor_3;Император-Школяр;x
nick_the_bureaucrat_emperor_4;Просветленный Император;x
nick_the_diplomat_emperor_1;Император-Дипломат;x
nick_the_diplomat_emperor_2;Благонадежный Император;x
nick_the_diplomat_emperor_3;Справедливый Император;x
nick_the_diplomat_emperor_4;Переговорщи[GetTsaK];x
nick_the_living_god_emperor_1;Живой Бог;x
nick_the_living_god_emperor_2;Божественное Явление;x
nick_the_living_god_emperor_3;Священн[GetAyaYy];x
nick_the_living_god_emperor_4;Благоволящ[GetAyaIy];x
nick_lion_tamer;Укротитель Львов;x
nick_hrakkar_tamer;Укротитель[GetEndNitsa] Храккаров;x
nick_mammoth_tamer;Укротитель[GetEndNitsa] Мамонтов;x
nick_whale_tamer;Китовый Пастырь;x
nick_unicorn_tamer;Наездни[GetTsaK] Единорога;x
nick_barrow_wolf;Волк Могильных Земель;x
nick_barstark;Барроустарк;x
nick_harbour_wolf;Волк Белой Гавани;x
nick_harstark;Харборстарк;x
nick_warg_king;Король-Варг;x
nick_warg_prince;Принц-Варг;x
nick_the_green_king;Зеленый Король;x
nick_the_serpent_in_scarlet;Змея в Алом;x
nick_bastard_of_location;Бастард из [Root.Location.GetName];x
nick_of_the_bear_of_location;Медведь [Root.Location.GetName];x
nick_the_young_bear;Молодой Медведь;x
nick_the_bastard_bear;Медведь-Бастард [Root.Location.GetName];x
nick_of_the_raven_of_location;Ворон [Root.Location.GetName];x
nick_the_young_raven;Молодой Ворон;x
nick_the_bastard_raven;Ворон-Бастард [Root.Location.GetName];x
nick_the_cunning_raven;Хитрый Ворон;x
nick_of_the_direwolf_of_location;Лютоволк [Root.Location.GetName];x
nick_the_bastard_wolf;Волк-Бастард [Root.Location.GetName];x
nick_the_cunning_wolf;Хитрый Волк;x
nick_of_the_lizardlion_of_location;Львоящер [Root.Location.GetName];x
nick_the_young_lizardlion;Молодой Львоящер;x
nick_the_bastard_lizardlion;Львоящер-Бастард [Root.Location.GetName];x
nick_the_cunning_lizardlion;Хитрый Львоящер;x
nick_the_young_lion;Молодой Лев;x
nick_the_bastard_lion;Лев-Бастард [Root.Location.GetName];x
nick_the_cunning_lion;Хитрый Лев;x





















nick_mbs_the_harper;Арфист;x
nick_mbs_the_lutist;Лютнист;x
nick_mbs_the_singer;Пев[GetItsaEts];x
nick_mbs_the_silvertongue;Серебряный Язык;x
nick_mbs_the_goldentongue;Золотой Язык;x
nick_mbs_the_sweettongue;Сладкий Язык;x
nick_mbs_the_sweetvoice;Сладкий Голос;x
nick_mbs_the_purevoice;Чистый Голос;x
nick_mbs_the_goldenvoice;Золотой Голос;x
nick_mbs_the_silvervoice;Серебряный Голос;x
nick_mbs_the_wanderingbard;Бард-Странник;x
nick_mbs_the_bluebard;Голубой Бард;x
nick_mbs_the_redbard;Красный Бард;x
nick_mbs_the_goldbard;Золотой Бард;x
nick_mbs_the_greenbard;Зеленый Бард;x
nick_mbs_the_silverbard;Серебряный Бард;x
nick_mbs_the_blackbard;Черный Бард;x
nick_mbs_the_orangebard;Оранжевый Бард;x
nick_mbs_the_rhymer;Рифмоплет;x
nick_mbs_the_strummer;Бренька;x
nick_mbs_the_melodious;Мелодичн[GetAyaYy];x
nick_mbs_the_nightingale;Соловей;x
nick_mbs_the_lark;Жаворонок;x
nick_mbs_the_fairfinger;Красивые Пальчики;x
nick_mbs_the_swiftfinger;Быстрые Пальцы;x
nick_mbs_bones;Костяной;x
nick_mbs_young_prince;Молодой Принц;x
nick_mbs_even_younger_prince;Совсем Молодой Принц;x
nick_mbs_trader;Торговец;x
nick_mbs_andal;Андал;x
nick_mbs_oldnan;Старая Нэн;x
nick_mbs_the_lord_of_air;Лорд Воздуха;x
nick_mbs_the_tattered_prince;Принц-Оборванец;x
nick_mbs_greenhands;Зелёные Руки;x

nick_the_black_dragon;Чёрный Дракон;x
nick_the_king_who_bore_the_sword;Король, Что Носил Меч;x
nick_the_rogue_prince;Порочный принц;x
nick_the_anvil;Наковальня;x
nick_egg;Эгг;x
nick_young_griff;Юный Гриф;x
nick_the_reconqueror;Завоеватель;x
nick_the_golden_dragon;Золотой Дракон;x
nick_the_dragonwolf;Дракон-Волк;x
nick_griff;Гриф;x
nick_the_tame;Смирный;x
nick_steelsong;Звонкий Меч;x
nick_the_slayer;Истребитель;x
nick_the_smiler;Улыбчивый;x
nick_the_wolf_of_the_north;Северный волк;x
nick_the_old_man_of_the_north;Северный старец;x
nick_the_boisterous;Шумный;x
nick_the_boastful;Хвастливый;x
nick_the_wilder_wolf;Дикий Волк;x
nick_the_quiet_wolf;Тихий Волк;x
nick_the_she_wolf;Волчица;x
nick_the_white_wolf;Белый Волк;x
nick_blackheart;Черное Сердце;x
nick_the_boy_king;Король-мальчик;x
nick_the_illborn;Дурное Семя;x
nick_the_demon_of_the_trident;Демон Трезубца;x
nick_the_whoremonger_king;Король-распутник;x
nick_the_iron_captain;Железный капитан;x
nick_the_twice_crowned;Дважды Коронованный;x
nick_sweetrobin;Зяблик;x
nick_the_knight_of_seashells;Рыцарь ракушек;x
nick_the_lightning_lord;Лорд-Молния;x
nick_the_black_flame;Чёрное Пламя;x
nick_the_red_woman;Красная женщина;x
nick_the_red_wizard;Красный волшебник;x
nick_the_hooded_hand;Десница в капюшоне;x
nick_the_red_dog_of_the_hills;Рыжий пес Холмов;x
nick_the_manticore;Мантикора;x
nick_black_aly;Черная Али;x
nick_ser_piggy;Сир Хрюшка;x
nick_the_wildling_princess;Принцесса одичалых;x
nick_the_wildling_queen;Королева одичалых;x
nick_the_unburnt_king;Несгораемый Король;x
nick_mance_rayder;Манс Налётчик;x
nick_aurochs;Зубр;x
nick_monkey;Обезьяна;x
nick_toad;Жаба;x
