#CODE;RUSSIAN;x
INSULT_PIGFACE;хрюшка;x #child
IDLE;§GЖдём приказов§!;x
ISNT_WICKED;НЕ обладает порочным характером;x
IS_WICKED;Обладает порочным характером;x
ISNT_VIRTOUS;НЕ хороший человек;x
IS_VIRTOUS;Хороший человек;x
ISNT_NEUTRAL;НЕ с нейтральным характером;x
IS_NEUTRAL;С нейтральным характером;x
SM_EFFECT_VOLUME;Эффекты;x
SM_MASTER_VOLUME;Общая;x
SM_MUSIC_VOLUME;Музыка;x
SM_DEATH_SOUND;Предсмертные звуки;x
ReapersDLC;The Reaper's Due;x
INSULT_OCCULTIST;чернокнижни[This.GetTsaK];x
INSULT_CORRUPT;Порочн[This.GetAyaYy];x
release_tributary;Освободить данника;x
release_tributary_desc;Вы можете освободить земли, которые платят Вам дань и тем самым лишить их своей защиты. Это повредит Вашему престижу, но никак не помешает напасть на них снова.;x
employ_court_physician;Нанять лекаря;x
employ_court_physician_desc;Разослать гонцов с поручением разыскать подходящего кандидата на роль §Yпридворного лекаря§!. Вам придётся заплатить этому человеку за присоединение к Вашему двору. Если у Вас уже есть §Yпридворный лекарь§!, выбор нового сместит прежнего с должности.;x
employ_court_physician_tooltip;Вся страна узнает о том, что Вы хотите нанять придворного лекаря.\n;x
EVTDESC_RIP_11050;Гонцы и лазутчики отправились по Вашему поручению во все концы и уголки страны, дабы разыскать среди множества известных и опытных лекарей того, кто пожелал бы прибыть к Вам и занять почётную должность при дворе. Будем надеяться, они не приведут какого-нибудь шарлатана...;x
EVTOPTA_RIP_11050;Не хотелось бы ждать слишком долго.;x
EVTOPTA_RIP_11053;Пожалуй, такой лекарь мне не подойдёт.;x
EVTDESC_RIP_11053_VILLAGE_DRUNKARD;Ваши лазутчики сообщают, что по их сведениям опытный и умелый лекарь проживает в ближайшей деревне. [recruited_physician_target.GetHerHimCap] не достаёт формального образования, да и, судя по всему, [recruited_physician_target.GetSheHe] т[recruited_physician_target.GetEtaEtot] ещё пьяница, но местные жители [recruited_physician_target.GetEyuIm] весьма довольны. Зовут [recruited_physician_target.GetHersHis] [recruited_physician_target.GetFullName] и [recruited_physician_target.GetSheHe] согласи[recruited_physician_target.GetLasLsya] прибыть к Вашему двору.;x
EVTOPTB_RIP_11053;Это приемлемый риск, я найму [recruited_physician_target.GetHersHis].;x
EVTDESC_RIP_11053_SHIPS_PHYSICIAN;Вам сообщили, что сегодня утром в [physician_port_target.County.GetAdjective]ских доках пришвартовался корабль, капитану которого служит [recruited_physician_target.GetFirstNameWithNick], известный лекарь. Если мы предложим достаточно золота, [recruited_physician_target.GetSheHe] согласится оставить своего капитана и служить Вам.;x
EVTOPTC_RIP_11053;А говорят здоровье не купишь. Скажите, я соглас[Root.GetNaEn].;x
