EVTOPTAdragon_rework.33;Далее.;x
EVTOPTBdragon_rework.33;Выйти.;x

###Script Arrax/Vhagar Fight###
EVTTITLEdragon_rework.40;Штормовой Предел;x
EVTDESCdragon_rework.40;Когда принц Люцерис Веларион покинул Штормовой Предел, похоже, его подстерегли принц Эймонд Таргариен и Вейгар! Хотя Арракс был быстрее и проворнее Вейгар, у них не было шансов выжить в этой схватке. Вейгар одолел Арракса и оторвал голову молодого дракона. \n\nСпустя несколько дней местные рыбаки нашли отрубленную голову вместе с телом юного принца Люцериса.;x
EVTOPTAdragon_rework.40;Мой бедный Люцерис...;x
EVTOPTBdragon_rework.40;Проклят будь, Эймонд...;x

EVTDESCdragon_rework.400;В Красном Замке были обнаружены два убийцы. После жестоких пыток они признались, что их нанял Бунтарский Принц, Деймон Таргариен, чтобы убить наследника Железного Трона. Бунтарский Принц и Черная Королева дорого заплатят за это!;x
EVTDESCdragon_rework.4000;В Красном Замке были обнаружены два убийцы. После жестоких пыток они признались, что их нанял Бунтарский Принц, Деймон Таргариен, чтобы убить наследника Железного Трона. Бунтарский Принц и Черная Королева дорого заплатят за это!;x
EVTDESCdragon_rework.4001;Ваш муж, Деймон, послал убийц в Красный Замок, чтобы отомстить за смерть юного принца Люцериса. Однако убийцы были схвачены и раскрыли заговор! Черное пятно на его чести, и все напрасно.;x
EVTOPTdragon_rework.4001;Неудача.;x

EVTDESCdragon_rework.400;Убийство Люцериса Велариона принцем Эймондом стало серьёзной провокацией, и принц Деймон не замедлил ответить. Он послал двух своих людей, двух подонков, проникнуть в Красный Замок, где я спал. Я внезапно проснулся, обнаружив, что крупный крыс держит меня и парализует, пока тщедушный достаёт пилу и начинает работать над моей шеей. Я попытался закричать... позвать стражу, брата, Вейгар... но прежде чем я смог произнести слова, мой рот наполнился кровью...;x
EVTDESCdragon_rework.4010;Убийство Люцериса Велариона принцем Эймондом стало серьёзной провокацией, и принц Деймон не замедлил ответить. Он послал двух своих людей, двух подонков, проникнуть в Красный Замок, где спал принц Эймонд Таргариен. Эймонд внезапно проснулся, обнаружив, что крупный крыс держит его и парализует, пока тщедушный достаёт пилу и начинает работать над шеей принца. Он попытался закричать... позвать стражу, брата, Вейгар... но прежде чем он смог произнести слова, его рот наполнился кровью...;x
EVTDESCdragon_rework.4011;Убийство Люцериса Велариона принцем Эймондом стало серьёзной провокацией, и принц Деймон не замедлил ответить. Он послал двух своих людей, двух подонков, проникнуть в Красный Замок, где спал принц Эймонд Таргариен. Эймонд внезапно проснулся, обнаружив, что крупный крыс держит его и парализует, пока тщедушный достаёт пилу и начинает работать над шеей принца. Он попытался закричать... позвать стражу, брата, Вейгар... но прежде чем он смог произнести слова, его рот наполнился кровью...;x

EVTDESCdragon_rework.402;Когда принц Люцерис Веларион вернулся, он рассказал о том, как принц Эймонд подстерег его после отъезда из Штормового Предела. Несмотря на подавляющий размер Вейгар, Люцерис и Арракс смогли укрыться за грозовыми тучами. Ясно, что Семеро защищали юного Люцериса.;x
EVTOPTdance_of_dragons.4020;Покушение на моего сына!;x
EVTDESCdragon_rework.4020;Когда принц Эймонд вернулся, он сообщил новость о поддержке лорда Борроса. Очевидно, наш сильный кузен также пытался заручиться поддержкой Штормовых Земель, но был отвергнут. Эймонд также хорошенько напугал его при отъезде.;x
EVTOPTdance_of_dragons.4020;Ха-ха! Отлично, Эймонд!;x

#Король Хью
EVTDESCdragon_rework.41;Правление дома Таргариенов над Семью Королевствами подошло к концу. Король Хью Молот теперь восседает на Железном Троне, и немногие осмелятся ему противостоять. \n\nМногие были шокированы, увидев, что простой драконье семя смог укротить могучего Вермитора. Они и не подозревали, что в его жилах течёт кровь Примирителя и Доброй Королевы. Теперь мы можем укрепить преемственность крови и наши притязания.;x
EVTOPTAdragon_rework.41;Молот победил дракона.;x
EVTOPTBdragon_rework.41;Сейра Таргариен — моя мать, но я сам проложил свой путь.;x
EVTOPTCdragon_rework.41;Я истинный сын дома Таргариенов.;x

#Король Ульф
EVTDESCdragon_rework.410;Правление дома Таргариенов над Семью Королевствами подошло к концу. Король Ульф Белый теперь восседает на Железном Троне, и немногие осмелятся ему противостоять. \n\nМногие были шокированы, увидев, что простой драконье семя смог укротить дракона Серебряное Крыло. Они и не подозревали, что в его жилах течёт кровь Примирителя и Доброй Королевы. Теперь мы можем укрепить преемственность крови и наши притязания.;x
EVTOPTAdragon_rework.410;Дракон мёртв.;x
EVTOPTBdragon_rework.410;Бейлон Храбрый — мой отец, но я сам проложил свой путь.;x
EVTOPTCdragon_rework.410;Я истинный сын дома Таргариенов.;x

#Драконьи яйца ребёнку
EVTDESCdragon_rework.50;В доме [Root.GetOnlyDynastyName] родился новый член. По обычаю нашего дома ребёнку дарят драконье яйцо, чтобы оно вылупилось и соединилось с ним.;x
EVTOPTAdragon_rework.50;Взять яйцо у Драконьих Хранителей!;x
EVTOPTBdragon_rework.50;Неужели каждому нужно яйцо?;x
EVTOPTCdragon_rework.50;Не продолжать эту традицию.;x

#Просьба о яйцах
EVTDESCAdragon_rework.52;[FromFrom.GetTitledFirstNameWithDynasty] просит вернуть драконьи яйца, находящиеся у вас.;x
EVTDESCBdragon_rework.52;[FromFrom.GetTitledFirstNameWithDynasty] требует вернуть драконьи яйца, находящиеся у вас. Они утверждают, что яйца по праву принадлежат дому [From.GetOnlyDynastyName].;x
EVTOPTAdragon_rework.52;Лучше не злить их.;x
EVTOPTBdragon_rework.52;Нелепость!;x

EVTDESCdragon_rework.520;[From.GetTitledFirstNameWithDynasty] согласился передать свои яйца нам.;x

EVTDESCdragon_rework.521;[From.GetTitledFirstNameWithDynasty] отказался передать свои яйца нам.;x
EVTOPTAdragon_rework.521;Как они смеют?!;x
EVTOPTBdragon_rework.521;Пригрозить войной.;x

EVTDESCdragon_rework.5210;[From.GetTitledFirstNameWithDynasty] прислал ворона с угрожающим ответом. [From.GetSheHeCap] пишет, что если драконьи яйца не будут переданы под их контроль, война станет неизбежной.;x
EVTOPTAdragon_rework.5210;Э-э... отдать им яйца.;x
EVTOPTBdragon_rework.5210;Пусть попробуют.;x

EVTDESCdragon_rework.5211;[From.GetTitledFirstNameWithDynasty] остался при своём решении не возвращать наши драконьи яйца.;x
EVTOPTdragon_rework.5211;Ладно, пока разрешим...;x

#Украденное яйцо у заключённого
EVTDESCdragon_rework.53;[FromFrom.GetTitledFirstNameWithDynasty] украл драконье яйцо, находившееся у вас!;x
EVTOPTdragon_rework.53;Ублюдок!;x

EVTDESCdragon_rework.7020;[From.GetFullName] пытался объединиться с диким драконом, но безуспешно. Наверняка [From.GetSheHe] скоро найдёт дракона для укрощения.;x
EVTOPTdragon_rework.7020;Чёрт.;x

EVTDESCdragon_rework.90;Новости из [From.Location.GetName] [Root.PrimaryTitle.GetFOA], в мир явился новый дракон. [FromFrom.GetTitledFirstNameWithDynasty] успешно вылупил яйцо и назвал [new_dragon.GetSheHe]-дракона [new_dragon.GetFirstName].;x

EVTDESCdragon_rework.91;Наши Драконьи Хранители сообщили, что яйцо вылупилось в инкубаторе. В мир явился новый дракон.;x
EVTOPTAdragon_rework.91;Поместить его в Драконью Яму здесь.;x
EVTOPTBdragon_rework.91;Не сообщайте мне о таких делах.;x

EVTDESCdragon_rework.92;Деревянный сундук открывается, обнажая три прекрасных драконьих яйца, которые, кажется, превратились в камень.;x
EVTOPTAdragon_rework.92;Достать яйца!;x
EVTOPTBdragon_rework.92;Оставим их в сундуке.;x


ThreeDragonEggs;Три драконьих яйца;x

###Укрощение драконов###
EVTDESCAdragon_rework.7;Кто-то объединился с драконом из нашей Драконьей Ямы!;x
EVTDESCBdragon_rework.7;Кто-то объединился с диким драконом!;x
EVTOPTdragon_rework.7;Отлично!;x

###Мнения###
opinion_took_flying;Прокатил[___] меня на драконе;x
opinion_went_flying_together;Летал[___] со мной;x
opinion_taunted_with_dragon;Насмеха[__лся] надо мной с драконом;x

opinion_tdp_mended_dispute;Уладил[___] конфликт;x
opinion_tdp_angry;Сердит[___];x
opinion_tdp_furious;В ярости;x

opinion_wants_darksister;Хочет Тёмную Сестру;x

opinion_tdp_satisfied;Довол[__ен_];x

opinion_head_dragonkeeper;Главный Драконий Хранитель;x

opinion_dragon_from_my_pit;Содержится в моей Драконьей Яме;x

opinion_asked_for_egg;Пыта[__лся] забрать драконье яйцо;x
opinion_refused_to_give_egg;Отказал[___] отдать драконье яйцо;x
opinion_stole_my_egg;Украл[___] моё драконье яйцо;x

###Решения###
tdp_allow_taming;Разрешить укрощение драконов;x
tdp_allow_taming_desc;Разрешить этому персонажу пытаться укротить дракона.;x

tdp_disallow_taming;Запретить укрощение драконов;x
tdp_disallow_taming_desc;Запретить этому персонажу пытаться укротить дракона.;x

tdp_motivate_to_tame;Мотивировать к укрощению;x
tdp_motivate_to_tame_desc;Мотивировать этого персонажа укротить дракона из вашей Драконьей Ямы.;x

tdp_motivate_to_face;Мотивировать к схватке;x
tdp_motivate_to_face_desc;Мотивировать этого персонажа встретиться и укротить дикого дракона. ВНИМАНИЕ: Персонаж может получить травму.;x

tdp_bring_dragon_to_pit;Поместить в Драконью Яму;x
tdp_bring_dragon_to_pit_desc;Этот дракон достаточно спокоен, чтобы поместить его в Драконью Яму.;x

tdp_take_eggs_from_dragon;Забрать яйца;x
tdp_take_eggs_from_dragon_desc;Этот дракон отложил яйца!;x

tdp_take_eggs_from_dragon_vl;Забрать яйца;x
tdp_take_eggs_from_dragon_vl_desc;Этот дракон отложил яйца!;x

tdp_kill_dragon;Атаковать дракона;x
tdp_kill_dragon_desc;Атаковать этого дракона, чтобы очистить от них мир!;x

tdp_interact_with_dragon;Взаимодействовать с драконом;x
tdp_interact_with_dragon_desc;Вы можете взаимодействовать со своим драконом!;x
tdp_interact_with_dragon_2;Взаимодействовать с драконом;x
tdp_interact_with_dragon_2_desc;Вы можете взаимодействовать со своим драконом!;x

tdp_train_your_dragon;Тренироваться с драконом;x
tdp_train_your_dragon_desc;Вы можете тренироваться со своим драконом!;x
tdp_train_your_dragon_2;Тренироваться с драконом;x
tdp_train_your_dragon_2_desc;Вы можете тренироваться со своим драконом!;x

tdp_take_flying;Прокатить;x
