#CODE;RUSSIAN;x
IS_NOT_LOVER_OF;НЕТ любовной связи с человеком по имени §Y$WHO$§!;x
IS_LOVER_OF;Есть любовная связь с человеком по имени §Y$WHO$§!;x
HAS_LESS_SPOUSES_THAN;Имеет меньше супругов, чем ;x
HAS_MORE_SPOUSES_THAN;Число супругов по крайней мере ;x
HAS_LESS_CONSORTS_THAN;Имеет меньше супругов, чем ;x
HAS_MORE_CONSORTS_THAN;Число супругов по крайней мере ;x
HAS_LESS_LOVERS_THAN;Имеет меньше любовниц/любовников, чем ;x
HAS_MORE_LOVERS_THAN;Число любовниц/любовников по крайней мере ;x
ANY_LOVER_STARTS;Любой любовник ;x
AIREASON_AGE_DIFFERENCE;Разница в возрасте;x
ANY_CLAIM_STARTS;Любые претензии;x
IS_PACIFIST;Является пацифистом ;x
IS_NOT_PACIFIST;НЕ является пацифистом ;x
EVTDESC_RoI_10003;М[From.GetOyaOy] [From.GetRootRelation] показывает все признаки того, что [From.GetSheHe] - перевоплощённ[From.Reincarnation.GetAyaYy] [From.Reincarnation.GetRootRelation] [From.Reincarnation.GetFirstName]. Маленьк[From.GetAyaIy] [From.GetFirstName] часто говорит о семье и старых друзьях, многих даже называет по имени.;x
conscript_merchant_ships;Привлечь торговые корабли;x
conscript_merchant_ships_desc;Располагая владениями за рубежом, моя держава имеет довольно много торговых судов, которые могут быть привлечены к действиям на время войны, конечно, за кругленькую сумму золота...;x
HAS_NO_OVERSEAS_HOLDINGS;НЕ имеет заморских владений;x
HAS_OVERSEAS_HOLDINGS;Имеет заморские владения;x
OUT_OF_SUPPLIES;Этот отряд уже лишён припасов;x
MATCHMAKING_SERVER_HOST_TITLE;Игровые настройки сервера;x
SAMRAT_CHAKRAVARTIN;Самрат Чакравартин;x
SAMRAJNI_CHAKRAVARTIN;Самраджни Чакравартин;x
CHARVIEW_RELATIONS;Отношения;x
ADD_FRIEND_EFFECT;§Y$WHO$§W и §Y$OTHER$§W станут близкими друзьями.\n;x
REMOVE_FRIEND_EFFECT;Дружба между §Y$WHO$§W и §Y$OTHER$§W закончится.\n;x
ADD_RIVAL_EFFECT;§Y$WHO$§! и §Y$OTHER$§W станут непримиримыми соперниками.\n;x
REMOVE_RIVAL_EFFECT;Соперничество между §Y$WHO$§! и §Y$OTHER$§W закончится.\n;x
AIREASON_GLAD_TO_TAKE_HOSTAGE;Рад взять в заложники;x
convert_to_local_culture;Принять [Root.Capital.GetCultureAdj]ую культуру;x #Местную культуру
convert_to_local_culture_desc;Я постоянно ловлю себя на том, что думаю на местном наречии [Root.Capital.GetLangAdjective]ого языка. Я правлю [Root.Capital.GetCultureAdj]им народом города [Root.Capital.GetName], но действительно ли я как они?;x
convert_to_local_religion;Принять [Root.Capital.GetReligionFullName];x #Местную веру
convert_to_local_religion_desc;Люди, исповедующие §Y[Root.Capital.GetReligionFullName]§! из города §Y[Root.Capital.GetName]§! произвели на меня впечатление глубиной и страстью своей веры. Мне хочется принять их веру и приобщиться к славе, которую дарует нам §Y[Root.Capital.Religion.GetHighGodName]§!.;x
e_india;Индия;x
EVTDESC_RoI_403;Ганг является воплощением всех священных вод в индуистской мифологии и персонифицируется в лице богини Ганги. Так как Вы живёте довольно близко к этой великой реке, Ваш Упадхьяйя советует посетить её.;x
EVTOPTA_RoI_403;Я пойду.;x
EVTOPTB_RoI_403;У меня нет времени.;x
EVTDESC_RoI_404;Вы приехали к берегу Ганга и вошли в храм на берегу реки, избегая толпы простых паломников. Священные воды дали ритуал очищения и укрепили Вашу связь с божественным.;x
EVTOPTA_RoI_404;Войти в воды Ганга, дабы смыть свои грехи.;x
EVTDESC_RoI_3150;Ваш придворный гуру немногословен. Он даёт странные советы, а также несколько раз был пойман на пьянстве. Вы начинаете сомневаться, что он настоящий гуру.;x
EVTOPTA_RoI_3150;Это нужно выяснить.;x
EVTOPTB_RoI_3150;Да кого это волнует?;x
EVTDESC_RoI_3151;Вы уже несколько недель наблюдаете за своим придворным гуру. Он тайно пьёт и курит травы, посещает в маске публичный дом и тратит на карточные игры деньги, которые получает от пожертвований.;x
EVTOPTA_RoI_3151;Придётся поговорить с ним.;x
EVTOPTB_RoI_3151;Меня устраивает такой тип гуру.;x
EVTDESC_RoI_3152;Когда Вы начинаете говорить со своим гуру о его привычках, он падает ниц и молит о пощаде: "Признаюсь, я самозванец. Пожалуйста, помилуйте меня  -  я простой человек, пытавшийся заработать себе на жизнь".;x
EVTOPTA_RoI_3152;Эта темница для тебя!;x
EVTOPTB_RoI_3152;Покинь мой дворец. Твои фокусы закончены.;x
EVTDESC_RoI_3100;К Вам пришёл придворный гуру: "Я должен поговорить с Вами о важном деле, [Root.PrimaryTitle.GetFOA]... Мы всегда должны искать мудрость и пытаться идти праведным путём в жизни. Не подобает благородному правителю быть пьяницей". Он поклонился и молча посмотрел на Вас.;x
EVTOPTA_RoI_3100;Я попытаюсь исправиться.;x
EVTOPTB_RoI_3100;Оставь меня в покое.;x
EVTOPTC_RoI_3100;Никто не смеет так разговаривать со мной!;x
EVTDESC_RoI_3101;К Вам пришёл придворный гуру: "Я должен поговорить с Вами о важном деле, [Root.PrimaryTitle.GetFOA]... Мы всегда должны искать мудрость и пытаться идти праведным путём в жизни. Не подобает благородному правителю быть гедонистом". Он поклонился и молча посмотрел на Вас.;x
EVTDESC_RoI_3102;К Вам пришёл придворный гуру: "Я должен поговорить с Вами о важном деле, [Root.PrimaryTitle.GetFOA]... Мы всегда должны искать мудрость и пытаться идти праведным путём в жизни. Не подобает благородному правителю иметь славу колосажателя". Он поклонился и молча посмотрел на Вас.;x
EVTDESC_RoI_3103;К Вам пришёл придворный гуру: "Я должен поговорить с Вами о важном деле, [Root.PrimaryTitle.GetFOA]... Мы всегда должны искать мудрость и пытаться идти праведным путём в жизни. Не подобает благородному правителю быть столь развратным и похотливым". Он поклонился и молча посмотрел на Вас.;x
